Phase, Radial Velocity
0.05379746835443039, 131.14048762237329
0.060126582278481056, 154.7982789798591
0.06962025316455706, 156.78742907027498
0.07278481012658233, 159.7493296751263
0.079113924050633, 166.6583525597057
0.079113924050633, 155.82091413606037
0.08544303797468361, 173.56737544428512
0.08544303797468361, 160.7594936708861
0.08860759493670889, 176.5292760491364
0.10126582278481017, 188.3768784685415
0.10126582278481017, 177.5394400448962
0.1044303797468355, 183.457005674378
0.10759493670886078, 188.38934962898298
0.11075949367088611, 177.55814678555842
0.11708860759493672, 206.14204651742847
0.12025316455696206, 216.98572052129452
0.12025316455696206, 196.29606534888075
0.12341772151898739, 213.0510694020079
0.129746835443038, 225.87142233584837
0.13607594936708867, 216.03167674752137
0.14873417721518994, 221.9679491176654
0.15189873417721522, 225.91507139739355
0.1645569620253165, 238.74789549167554
0.1645569620253165, 221.0139053438923
0.1803797468354431, 231.8825216686413
0.1803797468354431, 223.01552659474964
0.18670886075949367, 230.90977115420594
0.19303797468354433, 235.84835068903163
0.199367088607595, 237.83126519922683
0.20253164556962033, 240.79316580407811
0.2088607594936709, 239.82041528964274
0.22151898734177222, 228.0226975120035
0.2278481012658229, 240.84305044584403
0.23417721518987344, 235.92941323190126
0.23734177215189878, 232.97998378749145
0.24367088607594944, 223.14023819916446
0.24683544303797467, 237.92479890253793
0.25316455696202533, 240.89293508760994
0.26265822784810133, 235.00031177901107
0.268987341772152, 229.10145289019147
0.27531645569620256, 241.92180582403196
0.2816455696202532, 231.09683856082813
0.2911392405063292, 231.11554530149033
0.30696202531645567, 227.20583650308666
0.3101265822784811, 220.31552035916945
0.31329113924050633, 214.4104258901291
0.32278481012658233, 210.48824593128393
0.32594936708860756, 212.4649248612584
0.3322784810126582, 207.55128764731563
0.34493670886075944, 198.70923489430697
0.3481012658227849, 209.55290889817303
0.35443037974683544, 191.8313899108312
0.3575949367088609, 194.79329051568251
0.3670886075949368, 190.87111055683732
0.3702531645569621, 184.96601608779702
0.38291139240506333, 177.1091850096652
0.3924050632911392, 167.27567500155894
0.3924050632911392, 177.12789175032742
0.3987341772151899, 169.2585895117541
0.40506329113924044, 156.46317889879657
0.4082278481012659, 161.39552285340153
0.42405063291139244, 138.76660223233773
0.4272151898734178, 131.87628608842058
0.4303797468354431, 127.9416349691339
0.4367088607594938, 124.01321943006798
0.44303797468354433, 99.39514871858827
0.4525316455696202, 103.35474215875789
0.4620253164556962, 96.47689717528218
0.47468354430379756, 65.9599675749829
0.4778481012658229, 71.87753320446467
0.48417721518987356, 70.90478269002932
0.4905063291139241, 57.124150402194914
0.7278481012658229, -136.49685103198863
0.7405063291139242, -148.29456880962778
0.7626582278481013, -133.4725946249299
0.7658227848101267, -136.42202406933973
0.7658227848101267, -139.37768909397022
0.7721518987341773, -130.49822285963717
0.7753164556962027, -138.37376067843115
0.778481012658228, -122.60397830018081
0.7816455696202533, -130.4795161189749
0.7911392405063291, -132.4312527280664
0.9303797468354431, -16.88595123776264
0.9398734177215189, 10.7189623994513
0.9430379746835442, 14.666084679179448
0.9525316455696202, 12.714348070087908
0.9715189873417722, 32.45619504894938
0.9778481012658227, 50.20265635717402
0.9841772151898736, 62.03778761613768
1.0569620253164558, 133.11716655234778
1.0632911392405062, 156.77495790983357
1.069620253164557, 159.7430940949056
1.0727848101265822, 161.71977302488003
1.079113924050633, 157.79135748581413
1.0822784810126582, 168.6350314896802
1.0854430379746836, 162.72993702063982
1.0854430379746836, 175.53781879403886
1.0917721518987342, 178.5059549791109
1.1012658227848102, 180.49510506952677
1.1044303797468356, 185.42744902413176
1.1075949367088609, 190.35979297873672
1.1139240506329116, 179.53482571553292
1.1139240506329116, 191.35748581405505
1.1139240506329116, 197.26881586331615
1.1139240506329116, 207.1210326120846
1.1234177215189873, 198.2727442788552
1.1234177215189873, 218.96239945126902
1.1265822784810127, 214.04252665710553
1.129746835443038, 227.84186568560213
1.1329113924050633, 217.01066284217754
1.1424050632911393, 218.0145912577166
1.1455696202531644, 222.9469352123216
1.1518987341772153, 225.9150713973936
1.1582278481012658, 227.89798590758878
1.1645569620253164, 222.98434869364604
1.1677215189873418, 239.7393527467732
1.1803797468354431, 233.85296501839503
1.1835443037974682, 224.99220552472417
1.1867088607594938, 231.89499282908284
1.189873417721519, 237.81255845856464
1.1962025316455696, 240.78069464363668
1.2025316455696202, 243.74883082870872
1.208860759493671, 240.80563696451964
1.2246835443037976, 241.8220365405002
1.2278481012658229, 230.9908336970756
1.2341772151898736, 243.8111866309161
1.2373417721518989, 236.92087048699892
1.2436708860759493, 234.96289829768668
1.2436708860759493, 224.12545987404135
1.2468354430379749, 240.8804639271685
1.2531645569620253, 242.8633784373637
1.2658227848101267, 237.9622123838624
1.2721518987341773, 231.07813182016596
1.2753164556962027, 243.89224917378573
1.2784810126582278, 235.03148968011482
1.2879746835443038, 233.07975307102333
1.2943037974683547, 233.0922242314648
1.3069620253164558, 230.16150152771723
1.3132911392405064, 222.29219928914395
1.3164556962025316, 216.3871048201036
1.3227848101265822, 212.4586892810377
1.3322784810126582, 214.4478393714536
1.3322784810126582, 210.5069526719462
1.3481012658227849, 201.6711354991583
1.3544303797468356, 212.5210450832451
1.3544303797468356, 195.77227661033868
1.3639240506329113, 196.77620502587774
1.3670886075949369, 194.8119972563448
1.3765822784810129, 187.93415227286908
1.3829113924050633, 179.07962835941893
1.3892405063291138, 179.09209951986043
1.3955696202531647, 169.2523539315334
1.4018987341772153, 171.2352684417286
1.4082278481012658, 158.43985782877104
1.4145569620253167, 163.37843736359676
