# Phase, Radial Velocity (km/s)
0.298,232.602
0.299,232.264
0.299,231.922
0.300,231.576
0.301,231.227
0.302,230.874
0.302,230.516
0.303,230.156
0.304,229.791
0.305,229.422
0.305,229.050
0.306,228.674
0.307,228.294
0.308,227.911
0.308,227.524
0.309,227.133
0.310,226.738
0.311,226.340
0.311,225.938
0.312,225.532
0.313,225.123
0.314,224.710
0.314,224.293
0.315,223.873
0.316,223.448
0.317,223.021
0.317,222.590
0.318,222.155
0.319,221.716
0.320,221.274
0.320,220.828
0.321,220.379
0.322,219.926
0.323,219.470
0.323,219.010
0.324,218.546
0.325,218.079
0.326,217.609
0.326,217.135
0.327,216.657
0.328,216.176
0.329,215.692
0.329,215.204
0.330,214.712
0.331,214.218
0.332,213.719
0.332,213.218
0.333,212.713
0.334,212.204
0.335,211.692
0.335,211.177
0.336,210.658
0.337,210.136
0.338,209.611
0.338,209.082
0.339,208.550
0.340,208.015
0.341,207.477
0.341,206.935
0.342,206.390
0.343,205.841
0.344,205.290
0.344,204.735
0.345,204.177
0.346,203.615
0.347,203.051
0.347,202.483
0.348,201.912
0.349,201.338
0.350,200.761
0.350,200.181
0.351,199.598
0.352,199.011
0.353,198.422
0.353,197.829
0.354,197.233
0.355,196.634
0.356,196.032
0.356,195.428
0.357,194.820
0.358,194.209
0.359,193.595
0.359,192.978
0.360,192.358
0.361,191.735
0.362,191.110
0.362,190.481
0.363,189.849
0.364,189.215
0.365,188.578
0.365,187.937
0.366,187.294
0.367,186.649
0.368,186.000
0.368,185.348
0.369,184.694
0.370,184.037
0.371,183.377
0.371,182.715
0.372,182.049
0.373,181.381
0.374,180.710
0.374,180.037
0.375,179.361
0.376,178.682
0.377,178.000
0.377,177.316
0.378,176.630
0.379,175.940
0.380,175.249
0.380,174.554
0.381,173.857
0.382,173.157
0.383,172.455
0.383,171.751
0.384,171.044
0.385,170.334
0.386,169.622
0.386,168.908
0.387,168.191
0.388,167.471
0.389,166.750
0.389,166.025
0.390,165.299
0.391,164.570
0.392,163.839
0.392,163.105
0.393,162.370
0.394,161.632
0.395,160.891
0.395,160.149
0.396,159.404
0.397,158.657
0.398,157.907
0.398,157.156
0.399,156.402
0.400,155.646
0.401,154.888
0.401,154.128
0.402,153.366
0.403,152.602
0.404,151.835
0.404,151.067
0.405,150.297
0.406,149.524
0.407,148.750
0.407,147.973
0.408,147.195
0.409,146.414
0.410,145.632
0.410,144.848
0.411,144.062
0.412,143.274
0.413,142.484
0.413,141.692
0.414,140.898
0.415,140.103
0.416,139.306
0.416,138.507
0.417,137.706
0.418,136.904
0.419,136.099
0.419,135.293
0.420,134.486
0.421,133.676
0.422,132.866
0.422,132.053
0.423,131.239
0.424,130.423
0.425,129.605
0.425,128.787
0.426,127.966
0.427,127.144
0.428,126.320
0.428,125.495
0.429,124.669
0.430,123.841
0.431,123.011
0.431,122.181
0.432,121.348
0.433,120.515
0.434,119.680
0.434,118.843
0.435,118.006
0.436,117.167
0.437,116.326
0.437,115.485
0.438,114.642
0.439,113.798
0.440,112.953
0.440,112.106
0.441,111.258
0.442,110.410
0.443,109.560
0.443,108.709
0.444,107.856
0.445,107.003
0.446,106.149
0.446,105.293
0.447,104.437
0.448,103.579
0.449,102.721
0.449,101.862
0.450,101.001
0.451,100.140
0.452,99.278
0.452,98.415
0.453,97.551
0.454,96.686
0.455,95.820
0.455,94.953
0.456,94.086
0.457,93.218
0.458,92.349
0.458,91.479
0.459,90.609
0.460,89.738
0.461,88.866
0.461,87.994
0.462,87.121
0.463,86.247
0.464,85.373
0.464,84.498
0.465,83.622
0.466,82.746
0.467,81.870
0.467,80.993
0.468,80.115
0.469,79.237
0.470,78.358
0.470,77.479
0.471,76.600
0.472,75.720
