# Phase, Radial Velocity (km/s)
1.256,245.811
1.257,245.720
1.258,245.626
1.258,245.527
1.259,245.424
1.260,245.317
1.261,245.206
1.261,245.091
1.262,244.972
1.263,244.849
1.264,244.721
1.264,244.590
1.265,244.454
1.266,244.314
1.267,244.170
1.267,244.022
1.268,243.870
1.269,243.714
1.270,243.554
1.270,243.390
1.271,243.221
1.272,243.049
1.273,242.872
1.273,242.692
1.274,242.507
1.275,242.319
1.276,242.126
1.276,241.929
1.277,241.728
1.278,241.523
1.279,241.315
1.279,241.102
1.280,240.885
1.281,240.664
1.282,240.439
1.282,240.210
1.283,239.977
1.284,239.740
1.285,239.499
1.285,239.254
1.286,239.005
1.287,238.752
1.288,238.495
1.288,238.234
1.289,237.970
1.290,237.701
1.291,237.428
1.291,237.152
1.292,236.871
1.293,236.586
1.294,236.298
1.294,236.006
1.295,235.709
1.296,235.409
1.297,235.105
1.297,234.797
1.298,234.485
1.299,234.170
1.300,233.850
1.300,233.527
1.301,233.199
1.302,232.868
1.303,232.533
1.303,232.194
1.304,231.852
1.305,231.505
1.306,231.155
1.306,230.801
1.307,230.443
1.308,230.081
1.309,229.716
1.309,229.347
1.310,228.974
1.311,228.597
1.312,228.216
1.312,227.832
1.313,227.444
1.314,227.053
1.315,226.657
1.315,226.258
1.316,225.855
1.317,225.449
1.318,225.039
1.318,224.625
1.319,224.207
1.320,223.786
1.321,223.361
1.321,222.933
1.322,222.501
1.323,222.065
1.324,221.626
1.324,221.183
1.325,220.737
1.326,220.287
1.327,219.833
1.327,219.376
1.328,218.915
1.329,218.451
1.330,217.983
1.330,217.512
1.331,217.038
1.332,216.559
1.333,216.078
1.333,215.592
1.334,215.104
1.335,214.612
1.336,214.116
1.336,213.617
1.337,213.115
1.338,212.609
1.339,212.100
1.339,211.587
1.340,211.071
1.341,210.552
1.342,210.029
1.342,209.503
1.343,208.974
1.344,208.441
1.345,207.905
1.345,207.366
1.346,206.824
1.347,206.278
1.348,205.729
1.348,205.177
1.349,204.621
1.350,204.062
1.351,203.500
1.351,202.935
1.352,202.367
1.353,201.795
1.354,201.221
1.354,200.643
1.355,200.062
1.356,199.478
1.357,198.891
1.357,198.301
1.358,197.707
1.359,197.111
1.360,196.512
1.360,195.909
1.361,195.304
1.362,194.695
1.363,194.084
1.363,193.469
1.364,192.852
1.365,192.231
1.366,191.608
1.366,190.981
1.367,190.352
1.368,189.720
1.369,189.085
1.369,188.447
1.370,187.806
1.371,187.163
1.372,186.516
1.372,185.867
1.373,185.215
1.374,184.560
1.375,183.902
1.375,183.242
1.376,182.579
1.377,181.913
1.378,181.244
1.378,180.573
1.379,179.899
1.380,179.222
1.381,178.543
1.381,177.861
1.382,177.176
1.383,176.489
1.384,175.799
1.384,175.107
1.385,174.412
1.386,173.714
1.387,173.014
1.387,172.312
1.388,171.607
1.389,170.899
1.390,170.189
1.390,169.476
1.391,168.761
1.392,168.044
1.393,167.324
1.393,166.602
1.394,165.877
1.395,165.150
1.396,164.421
1.396,163.689
1.397,162.955
1.398,162.219
1.399,161.481
1.399,160.740
1.400,159.997
1.401,159.251
1.402,158.504
1.402,157.754
1.403,157.002
1.404,156.248
1.405,155.492
1.405,154.733
1.406,153.973
1.407,153.210
1.408,152.445
1.408,151.679
1.409,150.910
1.410,150.139
1.411,149.366
1.411,148.591
1.412,147.814
1.413,147.036
1.414,146.255
1.414,145.472
1.415,144.687
1.416,143.901
1.417,143.112
1.417,142.322
1.418,141.530
1.419,140.736
1.420,139.940
1.420,139.143
1.421,138.343
1.422,137.542
1.423,136.739
1.423,135.935
1.424,135.129
1.425,134.321
1.426,133.511
1.426,132.700
1.427,131.887
1.428,131.072
1.429,130.256
1.429,129.438
1.430,128.619
1.431,127.798
1.432,126.976
1.432,126.152
1.433,125.327
1.434,124.500
1.435,123.672
1.435,122.842
1.436,122.011
1.437,121.178
1.438,120.344
1.438,119.509
1.439,118.672
1.440,117.834
1.441,116.995
1.441,116.155
1.442,115.313
1.443,114.470
1.444,113.625
1.444,112.780
1.445,111.933
1.446,111.085
1.447,110.236
1.447,109.386
1.448,108.535
1.449,107.682
1.450,106.829
1.450,105.974
1.451,105.118
1.452,104.262
1.453,103.404
1.453,102.546
1.454,101.686
1.455,100.825
1.456,99.964
1.456,99.101
1.457,98.238
1.458,97.374
1.459,96.509
1.459,95.643
1.460,94.776
1.461,93.909
1.462,93.041
1.462,92.171
1.463,91.302
1.464,90.431
1.465,89.560
1.465,88.688
1.466,87.816
1.467,86.942
1.468,86.068
1.468,85.194
1.469,84.319
1.470,83.443
1.471,82.567
1.471,81.691
1.472,80.813
1.473,79.936
1.474,79.058
1.474,78.179
1.475,77.300
1.476,76.420
1.477,75.541
1.477,74.660
1.478,73.780
1.479,72.899
1.480,72.018
1.480,71.136
1.481,70.254
1.482,69.372
1.483,68.490
1.483,67.607
1.484,66.724
1.485,65.841
1.486,64.958
1.486,64.075
1.487,63.192
1.488,62.308
1.489,61.425
1.489,60.541
1.490,59.658
1.491,58.774
1.492,57.890
1.492,57.006
1.493,56.123
1.494,55.239
1.495,54.356
1.495,53.472
1.496,52.589
1.497,51.706
1.498,50.823
1.498,49.940
1.499,49.057
1.500,48.175
